Booking Ref,Stage,Date,Handled By,Status
FOY-0059,Invoice Issued,02/02/2026,Orla McLaughlin,completed
FOY-0059,Document Re-request,03-Feb-2026,Orla McLaughlin,closed
FOY-0059,Pre-Arrival Logistics,"Feb 09, 2026",Ciaran Bradley,complete
FOY-0059,Arrival,2026-02-14,Ciaran Bradley,closed
FOY-0060,Request Received ,10/03/2026,Aine Murray,complete
FOY-0060,Placement Offer,2026-03-11,Orla McLaughlin,
FOY-0060,booking confirmed,13/03/2026,Roisin Friel,completed
FOY-0060,Invoice Issued,"Mar 14, 2026",,completed
FOY-0060,Pre-Arrival Logistics,"Mar 19, 2026",Sean Gallagher,complete
FOY-0060,  Arrival,24-Mar-2026,Paul Doherty,ok
FOY-0061,Request Received,"Jan 01, 2026",Aine Murray,closed
FOY-0061,Placement Offer,"Jan 03, 2026",Sean Gallagher,
FOY-0061,BOOKING CONFIRMED,"Jan 15, 2026",Sean Gallagher,completed
FOY-0061,INVOICE ISSUED,18-Jan-2026,Aine Murray,completed
FOY-0061,Document Re-request,2026-01-18,Roisin Friel,
FOY-0061,Pre-Arrival Logistics,2026-01-24 13:45,,complete
FOY-0061,Arrival,28-Jan-2026,Aine Murray,complete
FOY-0062,Request Received,14/01/2026,Aine Murray,
FOY-0062,placement offer,15-Jan-2026,Sean Gallagher,ok
FOY-0062,  Booking Confirmed,17-Jan-2026,Aine Murray,
FOY-0062,  Invoice Issued,2026-01-18,Orla McLaughlin,completed
FOY-0062,Pre-Arrival Logistics,2026-01-22,Declan Quinn,complete
FOY-0062,Arrival,31/01/2026,Orla McLaughlin,completed
FOY-0063,Request Received,"Jan 06, 2026",Sean Gallagher,closed
FOY-0063,PLACEMENT OFFER,07/01/2026,Aine Murray,closed
FOY-0063,placement re-allocation,10/01/2026,Declan Quinn,completed
FOY-0063,BOOKING CONFIRMED ,23/01/2026,Ciaran Bradley,completed
FOY-0063,Invoice Issued,"Jan 26, 2026",Roisin Friel,completed
FOY-0063,Pre-Arrival Logistics,"Jan 29, 2026",Niamh Kelly,completed
FOY-0063,Arrival,2026-02-08,Niamh Kelly,done
FOY-0064,Request Received,03-Feb-2026,Roisin Friel,complete
FOY-0064,Placement Offer,06/02/2026,Ciaran Bradley,closed
FOY-0064,booking confirmed ,"Feb 08, 2026",Aine Murray,closed
FOY-0064,Invoice Issued,10/02/2026,Declan Quinn,done
FOY-0064,DOCUMENT RE-REQUEST,11/02/2026,Ciaran Bradley,ok
FOY-0064,Pre-Arrival Logistics,13-Feb-2026,Orla McLaughlin,completed
FOY-0064,Arrival,2026-02-18,Orla McLaughlin,complete
FOY-0065,Request Received,2026-03-03,Orla McLaughlin,complete
FOY-0065,  Placement Offer,"Mar 06, 2026",Paul Doherty,ok
FOY-0065,BOOKING CONFIRMED ,2026-03-18,Niamh Kelly,complete
FOY-0065,Invoice Issued,19/03/2026,Roisin Friel,closed
FOY-0065,Pre-Arrival Logistics,2026-03-23 17:00,Declan Quinn,ok
FOY-0065,Arrival,"Mar 28, 2026",Declan Quinn,done
FOY-0066,Request Received,06-Mar-2026,Aine Murray,closed
FOY-0066,placement offer,07-Mar-2026,Aine Murray,ok
FOY-0066,Placement Re-allocation,2026-03-09 14:15,Roisin Friel,closed
FOY-0066,Booking Confirmed,2026-03-18,Orla McLaughlin,closed
FOY-0066,invoice issued ,20-Mar-2026,Paul Doherty,ok
FOY-0066,  Document Re-request,21-Mar-2026,Orla McLaughlin,closed
FOY-0066,Pre-Arrival Logistics,25/03/2026,Roisin Friel,closed
FOY-0066,Arrival,02-Apr-2026,Ciaran Bradley,ok
FOY-0067,REQUEST RECEIVED,27-Feb-2026,Aine Murray,done
FOY-0067,Placement Offer ,"Feb 28, 2026",Sean Gallagher,
FOY-0067,Booking Confirmed,"Mar 02, 2026",Aine Murray,complete
FOY-0067,invoice issued,06-Mar-2026,Orla McLaughlin,closed
FOY-0067,Pre-Arrival Logistics,2026-03-09,Niamh Kelly,completed
FOY-0067,Arrival,2026-03-17,Paul Doherty,closed
FOY-0068,Request Received ,05/02/2026,Roisin Friel,
FOY-0068,  Placement Offer,"Feb 07, 2026",Orla McLaughlin,ok
FOY-0068,Booking Confirmed,2026-02-08 11:15,Aine Murray,
FOY-0068,Invoice Issued,"Feb 10, 2026",Aine Murray,completed
FOY-0068,Pre-Arrival Logistics,12-Feb-2026,Niamh Kelly,completed
FOY-0068,ARRIVAL,19/02/2026,Declan Quinn,complete
FOY-0069,  REQUEST RECEIVED,2026-02-01 17:30,Aine Murray,closed
FOY-0069,Placement Offer,03-Feb-2026,Orla McLaughlin,closed
FOY-0069,Placement Re-allocation,2026-02-04 17:30,Declan Quinn,done
FOY-0069,Booking Confirmed,2026-02-06,Declan Quinn,
FOY-0069,  Invoice Issued,"Feb 08, 2026",Niamh Kelly,complete
FOY-0069,Document Re-request,"Feb 09, 2026",Ciaran Bradley,completed
FOY-0069,pre-arrival logistics,2026-02-15,Orla McLaughlin,closed
FOY-0069,ARRIVAL,2026-02-24 17:30,Aine Murray,ok
FOY-0070,Request Received ,2026-02-10,,completed
FOY-0070,placement offer,"Feb 13, 2026",Orla McLaughlin,ok
FOY-0070,Booking Confirmed,"Feb 14, 2026",Ciaran Bradley,closed
FOY-0070,Invoice Issued,18/02/2026,Niamh Kelly,completed
FOY-0070,Pre-Arrival Logistics ,24/02/2026,Ciaran Bradley,completed
FOY-0070,Arrival,"Mar 03, 2026",Declan Quinn,complete
FOY-0071,  REQUEST RECEIVED ,2026-03-31 09:15,,ok
FOY-0071,placement offer ,2026-04-01 09:15,Orla McLaughlin,completed
FOY-0071,placement re-allocation ,"Apr 02, 2026",Ciaran Bradley,ok
FOY-0071,Booking Confirmed,14-Apr-2026,Niamh Kelly,ok
FOY-0071,Invoice Issued,"Apr 18, 2026",Declan Quinn,done
FOY-0071,Document Re-request ,19-Apr-2026,Niamh Kelly,ok
FOY-0071,Pre-Arrival Logistics ,2026-04-24 09:15,Orla McLaughlin,done
FOY-0071,Arrival,30/04/2026,Roisin Friel,complete
FOY-0072,Request Received,20/03/2026,Paul Doherty,completed
FOY-0072,Placement Offer,22/03/2026,,done
FOY-0072,  BOOKING CONFIRMED,2026-03-30 12:30,Aine Murray,
FOY-0072,Invoice Issued,"Apr 01, 2026",Declan Quinn,done
FOY-0072,document re-request ,2026-04-01 12:30,Niamh Kelly,completed
FOY-0072,pre-arrival logistics,2026-04-03 12:30,Sean Gallagher,done
FOY-0072,Arrival,"Apr 07, 2026",Ciaran Bradley,done
FOY-0073,Request Received,2026-02-08,Sean Gallagher,
FOY-0073,Placement Offer,2026-02-10,Declan Quinn,complete
FOY-0073,BOOKING CONFIRMED,"Feb 18, 2026",,complete
FOY-0073,invoice issued,"Feb 19, 2026",Declan Quinn,done
FOY-0073,Document Re-request ,2026-02-20 11:30,Orla McLaughlin,ok
FOY-0073,Pre-Arrival Logistics,23-Feb-2026,,complete
FOY-0073,Arrival,02-Mar-2026,Roisin Friel,done
FOY-0074,REQUEST RECEIVED,09/01/2026,Orla McLaughlin,completed
FOY-0074,  Placement Offer,12/01/2026,Aine Murray,ok
FOY-0074,Booking Confirmed,20-Jan-2026,,complete
FOY-0074,invoice issued,2026-01-21,Declan Quinn,done
FOY-0074,Pre-Arrival Logistics ,26-Jan-2026,Orla McLaughlin,done
FOY-0074,Arrival ,30/01/2026,Roisin Friel,closed
FOY-0075,Request Received,2026-03-13 14:00,Paul Doherty,complete
FOY-0075,Placement Offer,2026-03-16 14:00,Ciaran Bradley,closed
FOY-0075,Booking Confirmed,"Mar 26, 2026",Sean Gallagher,complete
FOY-0075,Invoice Issued,2026-03-29,Aine Murray,
FOY-0075,Pre-Arrival Logistics,01/04/2026,Sean Gallagher,done
FOY-0075,Arrival,08-Apr-2026,Niamh Kelly,ok
FOY-0076,request received,2026-01-30,Ciaran Bradley,complete
FOY-0076,Placement Offer ,"Feb 02, 2026",Aine Murray,closed
FOY-0076,booking confirmed,2026-02-16 12:30,Roisin Friel,done
FOY-0076,Invoice Issued,2026-02-18 12:30,Aine Murray,done
FOY-0076,Document Re-request,2026-02-18 12:30,Declan Quinn,closed
FOY-0076,Pre-Arrival Logistics,"Feb 21, 2026",Paul Doherty,done
FOY-0076,arrival,28/02/2026,Niamh Kelly,complete
FOY-0077,request received,09-Mar-2026,Paul Doherty,ok
FOY-0077,PLACEMENT OFFER,"Mar 11, 2026",Niamh Kelly,closed
FOY-0077,Booking Confirmed,13/03/2026,Sean Gallagher,complete
FOY-0077,  invoice issued,14/03/2026,,done
FOY-0077,document re-request,15/03/2026,Orla McLaughlin,closed
FOY-0077,Pre-Arrival Logistics,18-Mar-2026,Aine Murray,done
FOY-0077,arrival ,2026-03-25 11:15,Orla McLaughlin,completed
FOY-0078,Request Received,2026-01-30,Niamh Kelly,ok
FOY-0078,placement offer,"Feb 02, 2026",Declan Quinn,
FOY-0078,Booking Confirmed,15-Feb-2026,Orla McLaughlin,completed
FOY-0078,Invoice Issued,"Feb 16, 2026",Roisin Friel,done
FOY-0078,Pre-Arrival Logistics,22/02/2026,Roisin Friel,complete
FOY-0078,Arrival,01/03/2026,Niamh Kelly,complete
FOY-0079,Request Received,2026-01-18,Paul Doherty,complete
FOY-0079,Placement Offer,2026-01-20 14:15,Orla McLaughlin,complete
FOY-0079,booking confirmed,29-Jan-2026,Sean Gallagher,complete
FOY-0079,invoice issued,01-Feb-2026,Declan Quinn,completed
FOY-0079,Pre-Arrival Logistics,2026-02-06,Roisin Friel,done
FOY-0079,ARRIVAL,15/02/2026,Paul Doherty,ok
FOY-0080,Request Received,"Feb 01, 2026",Roisin Friel,closed
FOY-0080,Placement Offer ,2026-02-04,Declan Quinn,done
FOY-0080,Booking Confirmed,13-Feb-2026,Roisin Friel,done
FOY-0080,Invoice Issued,2026-02-17 14:45,Niamh Kelly,closed
FOY-0080,Document Re-request ,17-Feb-2026,Paul Doherty,closed
FOY-0080,pre-arrival logistics,23/02/2026,Declan Quinn,complete
FOY-0080,Arrival,27/02/2026,Paul Doherty,ok
FOY-0081,Request Received,"Mar 07, 2026",Niamh Kelly,complete
FOY-0081,placement offer,2026-03-10 17:15,Orla McLaughlin,done
FOY-0081,booking confirmed ,2026-03-19 17:15,Declan Quinn,done
FOY-0081,INVOICE ISSUED,2026-03-23 17:15,,
FOY-0081,Pre-Arrival Logistics,29/03/2026,Aine Murray,done
FOY-0081,  arrival,01-Apr-2026,Orla McLaughlin,
FOY-0082,Request Received,2026-03-20,Paul Doherty,completed
FOY-0082,Placement Offer,2026-03-22,Orla McLaughlin,done
FOY-0082,Booking Confirmed,01/04/2026,Aine Murray,closed
FOY-0082,Invoice Issued,"Apr 05, 2026",Roisin Friel,completed
FOY-0082,Document Re-request,2026-04-06 17:15,Declan Quinn,closed
FOY-0082,  Pre-Arrival Logistics ,2026-04-10,Sean Gallagher,ok
FOY-0082,Arrival,18/04/2026,Orla McLaughlin,done
FOY-0083,Request Received,29/03/2026,Sean Gallagher,completed
FOY-0083,Placement Offer,2026-03-31 13:30,Niamh Kelly,closed
FOY-0083,Placement Re-allocation,02-Apr-2026,Orla McLaughlin,completed
FOY-0083,BOOKING CONFIRMED,"Apr 10, 2026",Paul Doherty,completed
FOY-0083,Invoice Issued,13-Apr-2026,Roisin Friel,done
FOY-0083,Document Re-request ,2026-04-14 13:30,Paul Doherty,complete
FOY-0083,PRE-ARRIVAL LOGISTICS ,2026-04-18,Sean Gallagher,ok
FOY-0083,Arrival,2026-04-28 13:30,Orla McLaughlin,complete
FOY-0084,Request Received,2026-01-17,Orla McLaughlin,closed
FOY-0084,  Placement Offer,"Jan 19, 2026",Aine Murray,completed
FOY-0084,Booking Confirmed,"Jan 28, 2026",Declan Quinn,completed
FOY-0084,invoice issued,2026-01-31,Sean Gallagher,closed
FOY-0084,Pre-Arrival Logistics,03/02/2026,Paul Doherty,completed
FOY-0084,arrival,2026-02-06,,ok
FOY-0085,Request Received,30-Mar-2026,Paul Doherty,ok
FOY-0085,Placement Offer,2026-03-31 15:30,Orla McLaughlin,ok
FOY-0085,booking confirmed,"Apr 01, 2026",Roisin Friel,completed
FOY-0085,  Invoice Issued,"Apr 04, 2026",Declan Quinn,complete
FOY-0085,Pre-Arrival Logistics ,2026-04-08,Ciaran Bradley,done
FOY-0085,Arrival,18-Apr-2026,Niamh Kelly,
FOY-0086,Request Received,2026-02-25,Declan Quinn,closed
FOY-0086,placement offer,2026-02-28 17:30,Paul Doherty,closed
FOY-0086,Booking Confirmed ,11/03/2026,Niamh Kelly,done
FOY-0086,Invoice Issued,2026-03-13 17:30,Sean Gallagher,completed
FOY-0086,Pre-Arrival Logistics,"Mar 17, 2026",Paul Doherty,closed
FOY-0086,Arrival ,26-Mar-2026,,closed
FOY-0087,Request Received,2026-01-31 14:45,Sean Gallagher,ok
FOY-0087,Placement Offer,03/02/2026,Orla McLaughlin,complete
FOY-0087,Booking Confirmed,2026-02-11 14:45,Niamh Kelly,ok
FOY-0087,Invoice Issued,2026-02-15 14:45,Roisin Friel,complete
FOY-0087,Pre-Arrival Logistics,17-Feb-2026,Orla McLaughlin,closed
FOY-0087,Arrival,2026-02-20,Declan Quinn,done
FOY-0088,Request Received,2026-02-05,Orla McLaughlin,completed
FOY-0088,Placement Offer,"Feb 06, 2026",Roisin Friel,completed
FOY-0088,Booking Confirmed,07-Feb-2026,,ok
FOY-0088,Invoice Issued,2026-02-08,Orla McLaughlin,complete
FOY-0088,Pre-Arrival Logistics,"Feb 12, 2026",Aine Murray,closed
FOY-0088,Arrival,17/02/2026,Declan Quinn,closed
FOY-0089,Request Received,20/01/2026,Sean Gallagher,
FOY-0089,  Placement Offer,2026-01-22 15:45,Declan Quinn,closed
FOY-0089,Placement Re-allocation,2026-01-25 15:45,Aine Murray,ok
FOY-0089,Booking Confirmed ,04-Feb-2026,Ciaran Bradley,ok
FOY-0089,Invoice Issued ,07-Feb-2026,Roisin Friel,complete
FOY-0089,Document Re-request,"Feb 07, 2026",Aine Murray,
FOY-0089,Pre-Arrival Logistics,"Feb 09, 2026",Orla McLaughlin,done
FOY-0089,Arrival,12-Feb-2026,Paul Doherty,done
FOY-0090,Request Received,2026-03-24 17:15,Paul Doherty,completed
FOY-0090,Placement Offer,27/03/2026,Paul Doherty,done
FOY-0090,Booking Confirmed,29/03/2026,,complete
FOY-0090,  Invoice Issued,2026-03-31 17:15,Sean Gallagher,done
FOY-0090,  document re-request,"Apr 01, 2026",,ok
FOY-0090,Pre-Arrival Logistics,"Apr 03, 2026",Roisin Friel,closed
FOY-0090,Arrival,2026-04-13,,ok
FOY-0091,Request Received ,08-Feb-2026,Ciaran Bradley,ok
FOY-0091,Placement Offer ,2026-02-10 14:00,Sean Gallagher,ok
FOY-0091,Booking Confirmed,2026-02-23 14:00,Sean Gallagher,
FOY-0091,  Invoice Issued,"Feb 25, 2026",Declan Quinn,ok
FOY-0091,  pre-arrival logistics,2026-02-27,Roisin Friel,closed
FOY-0091,Arrival ,04/03/2026,Declan Quinn,ok
FOY-0092,Request Received ,02-Jan-2026,Niamh Kelly,done
FOY-0092,placement offer,2026-01-03,Sean Gallagher,ok
FOY-0092,Booking Confirmed,2026-01-04,Niamh Kelly,done
FOY-0092,INVOICE ISSUED,08/01/2026,Aine Murray,closed
FOY-0092,document re-request ,08/01/2026,Paul Doherty,closed
FOY-0092,Pre-Arrival Logistics,13/01/2026,Sean Gallagher,completed
FOY-0092,ARRIVAL,22-Jan-2026,Niamh Kelly,closed
FOY-0093,REQUEST RECEIVED,01-Jan-2026,Ciaran Bradley,closed
FOY-0093,Placement Offer,03/01/2026,Paul Doherty,ok
FOY-0093,  Booking Confirmed,"Jan 04, 2026",Sean Gallagher,completed
FOY-0093,invoice issued,08/01/2026,Niamh Kelly,ok
FOY-0093,Pre-Arrival Logistics,"Jan 10, 2026",Roisin Friel,completed
FOY-0093,  Arrival,14/01/2026,Roisin Friel,done
FOY-0094,Request Received,"Mar 20, 2026",Orla McLaughlin,
FOY-0094,placement offer,2026-03-23 15:15,Roisin Friel,completed
FOY-0094,Placement Re-allocation,25-Mar-2026,Niamh Kelly,closed
FOY-0094,Booking Confirmed,02/04/2026,Declan Quinn,
FOY-0094,Invoice Issued,06-Apr-2026,Sean Gallagher,closed
FOY-0094,Pre-Arrival Logistics ,2026-04-12 15:15,Aine Murray,ok
FOY-0094,Arrival,2026-04-16,Roisin Friel,complete
FOY-0095,Request Received,2026-03-27,Declan Quinn,complete
FOY-0095,PLACEMENT OFFER,2026-03-29,Paul Doherty,completed
FOY-0095,Placement Re-allocation,31-Mar-2026,Sean Gallagher,done
FOY-0095,  Booking Confirmed,"Apr 10, 2026",Aine Murray,completed
FOY-0095,Invoice Issued,2026-04-11,Sean Gallagher,completed
FOY-0095,Pre-Arrival Logistics,13/04/2026,Sean Gallagher,completed
FOY-0095,  Arrival,2026-04-22 12:15,Paul Doherty,closed
FOY-0096,Request Received ,28/03/2026,Orla McLaughlin,done
FOY-0096,placement offer,30/03/2026,Aine Murray,closed
FOY-0096,Booking Confirmed,"Apr 10, 2026",,complete
FOY-0096,Invoice Issued,"Apr 13, 2026",Declan Quinn,closed
FOY-0096,Document Re-request,"Apr 14, 2026",Niamh Kelly,complete
FOY-0096,  Pre-Arrival Logistics,2026-04-18 09:15,Niamh Kelly,complete
FOY-0096,ARRIVAL,25/04/2026,Niamh Kelly,done
FOY-0097,Request Received,2026-01-27 16:00,Niamh Kelly,done
FOY-0097,Placement Offer,"Jan 29, 2026",,closed
FOY-0097,Booking Confirmed,08-Feb-2026,Niamh Kelly,ok
FOY-0097,Invoice Issued,09-Feb-2026,Paul Doherty,ok
FOY-0097,  Pre-Arrival Logistics ,12/02/2026,Sean Gallagher,completed
FOY-0097,Arrival,2026-02-16,Roisin Friel,completed
FOY-0098,Request Received,"Feb 20, 2026",Orla McLaughlin,closed
FOY-0098,Placement Offer,2026-02-23 10:45,Orla McLaughlin,ok
FOY-0098,booking confirmed ,06/03/2026,Orla McLaughlin,closed
FOY-0098,Invoice Issued,2026-03-07,Roisin Friel,completed
FOY-0098,Document Re-request,08/03/2026,Roisin Friel,
FOY-0098,Pre-Arrival Logistics,2026-03-12 10:45,,done
FOY-0098,Arrival,"Mar 19, 2026",Roisin Friel,
FOY-0099,Request Received,2026-03-18 13:45,Paul Doherty,
FOY-0099,  PLACEMENT OFFER,20/03/2026,Ciaran Bradley,completed
FOY-0099,booking confirmed,2026-03-22,Sean Gallagher,complete
FOY-0099,Invoice Issued,"Mar 24, 2026",Orla McLaughlin,completed
FOY-0099,Pre-Arrival Logistics,"Mar 30, 2026",Ciaran Bradley,ok
FOY-0099,arrival,04/04/2026,Paul Doherty,done
FOY-0100,Request Received,"Mar 30, 2026",Niamh Kelly,done
FOY-0100,PLACEMENT OFFER,31/03/2026,Orla McLaughlin,complete
FOY-0100,Booking Confirmed ,2026-04-11 13:15,,
FOY-0100,Invoice Issued ,"Apr 12, 2026",Aine Murray,done
FOY-0100,Document Re-request,2026-04-12,Paul Doherty,completed
FOY-0100,Pre-Arrival Logistics,16-Apr-2026,Sean Gallagher,done
FOY-0100,Arrival,19/04/2026,Aine Murray,done
FOY-0101,Request Received,"Mar 31, 2026",Roisin Friel,closed
FOY-0101,Placement Offer,01-Apr-2026,Niamh Kelly,completed
FOY-0101,booking confirmed,2026-04-02 17:15,Orla McLaughlin,ok
FOY-0101,Invoice Issued,2026-04-06,Declan Quinn,completed
FOY-0101,Pre-Arrival Logistics,2026-04-11,Paul Doherty,ok
FOY-0101,Arrival,"Apr 15, 2026",Sean Gallagher,closed
FOY-0102,Request Received,"Mar 05, 2026",Declan Quinn,ok
FOY-0102,Placement Offer ,"Mar 08, 2026",Declan Quinn,
FOY-0102,  booking confirmed,21/03/2026,Roisin Friel,completed
FOY-0102,Invoice Issued,2026-03-22 12:30,Declan Quinn,ok
FOY-0102,Document Re-request,2026-03-23,Aine Murray,done
FOY-0102,Pre-Arrival Logistics ,27/03/2026,Orla McLaughlin,complete
FOY-0102,Arrival,01-Apr-2026,Declan Quinn,closed
FOY-0103,Request Received,"Feb 20, 2026",,
FOY-0103,Placement Offer ,"Feb 22, 2026",Roisin Friel,completed
FOY-0103,Booking Confirmed,"Mar 05, 2026",Paul Doherty,done
FOY-0103,  Invoice Issued,2026-03-06 12:45,Roisin Friel,ok
FOY-0103,Pre-Arrival Logistics,2026-03-11 12:45,Ciaran Bradley,ok
FOY-0103,Arrival,"Mar 17, 2026",Niamh Kelly,completed
FOY-0104,  Request Received,2026-01-10 16:15,Sean Gallagher,done
FOY-0104,placement offer ,13-Jan-2026,Declan Quinn,completed
FOY-0104,Booking Confirmed,26-Jan-2026,Ciaran Bradley,ok
FOY-0104,Invoice Issued,30-Jan-2026,Niamh Kelly,complete
FOY-0104,Pre-Arrival Logistics,2026-02-04 16:15,Aine Murray,completed
FOY-0104,ARRIVAL,2026-02-10 16:15,Roisin Friel,done
FOY-0105,  Request Received,21/01/2026,Orla McLaughlin,closed
FOY-0105,  Placement Offer,23/01/2026,Aine Murray,completed
FOY-0105,  Placement Re-allocation,2026-01-24,Aine Murray,done
FOY-0105,Booking Confirmed,"Jan 26, 2026",Paul Doherty,complete
FOY-0105,Invoice Issued,27-Jan-2026,Orla McLaughlin,done
FOY-0105,Document Re-request,2026-01-27 12:15,Sean Gallagher,complete
FOY-0105,PRE-ARRIVAL LOGISTICS,30-Jan-2026,Aine Murray,completed
FOY-0105,Arrival,"Feb 03, 2026",Niamh Kelly,completed
FOY-0106,Request Received,"Mar 26, 2026",Paul Doherty,complete
FOY-0106,placement offer,"Mar 28, 2026",Orla McLaughlin,complete
FOY-0106,Booking Confirmed,2026-04-11 08:15,Aine Murray,done
FOY-0106,Invoice Issued,2026-04-15 08:15,Paul Doherty,completed
FOY-0106,Pre-Arrival Logistics,"Apr 19, 2026",Declan Quinn,done
FOY-0106,Arrival,2026-04-24 08:15,Sean Gallagher,completed
FOY-0107,Request Received,25/03/2026,Orla McLaughlin,closed
FOY-0107,PLACEMENT OFFER,2026-03-27 10:45,,done
FOY-0107,Booking Confirmed ,2026-04-09 10:45,Sean Gallagher,
FOY-0107,Invoice Issued,13/04/2026,,closed
FOY-0107,Document Re-request,14/04/2026,Sean Gallagher,completed
FOY-0107,Pre-Arrival Logistics,19/04/2026,Orla McLaughlin,complete
FOY-0107,  Arrival,28/04/2026,Declan Quinn,completed
FOY-0108,Request Received,"Feb 11, 2026",Paul Doherty,
FOY-0108,Placement Offer,12-Feb-2026,,closed
FOY-0108,Booking Confirmed,14-Feb-2026,Aine Murray,completed
FOY-0108,Invoice Issued,"Feb 18, 2026",Roisin Friel,done
FOY-0108,Document Re-request,"Feb 18, 2026",Roisin Friel,completed
FOY-0108,Pre-Arrival Logistics,2026-02-22 14:15,Niamh Kelly,
FOY-0108,arrival,27/02/2026,Declan Quinn,
FOY-0109,  request received,05/03/2026,Niamh Kelly,completed
FOY-0109,Placement Offer,08-Mar-2026,Niamh Kelly,done
FOY-0109,Booking Confirmed ,2026-03-19,Roisin Friel,done
FOY-0109,invoice issued,2026-03-21 09:15,Declan Quinn,completed
FOY-0109,  Pre-Arrival Logistics,2026-03-23 09:15,Ciaran Bradley,closed
FOY-0109,Arrival,2026-03-26,Roisin Friel,completed
FOY-0110,Request Received,27/01/2026,Paul Doherty,ok
FOY-0110,Placement Offer,2026-01-29,Ciaran Bradley,ok
FOY-0110,Placement Re-allocation,2026-01-31 10:45,Ciaran Bradley,ok
FOY-0110,booking confirmed,01/02/2026,Niamh Kelly,closed
FOY-0110,Invoice Issued,2026-02-02 10:45,Orla McLaughlin,complete
FOY-0110,Pre-Arrival Logistics,2026-02-06,Paul Doherty,closed
FOY-0110,Arrival,"Feb 15, 2026",Ciaran Bradley,done
FOY-0111,request received,24-Jan-2026,Declan Quinn,ok
FOY-0111,Placement Offer,26/01/2026,,closed
FOY-0111,booking confirmed ,2026-02-08,Aine Murray,ok
FOY-0111,Invoice Issued,2026-02-12 14:00,Orla McLaughlin,closed
FOY-0111,  Pre-Arrival Logistics,17/02/2026,Paul Doherty,complete
FOY-0111,Arrival,23-Feb-2026,Sean Gallagher,ok
FOY-0112,Request Received,31/03/2026,Orla McLaughlin,
FOY-0112,placement offer,2026-04-01 15:45,Declan Quinn,closed
FOY-0112,booking confirmed,11-Apr-2026,Declan Quinn,done
FOY-0112,Invoice Issued,2026-04-15 15:45,Declan Quinn,closed
FOY-0112,Document Re-request,16/04/2026,Declan Quinn,complete
FOY-0112,Pre-Arrival Logistics,2026-04-22 15:45,Niamh Kelly,ok
FOY-0112,Arrival,30-Apr-2026,Sean Gallagher,done
FOY-0113,Request Received ,2026-01-13,Ciaran Bradley,completed
FOY-0113,Placement Offer ,2026-01-14,Ciaran Bradley,closed
FOY-0113,BOOKING CONFIRMED,"Jan 26, 2026",Aine Murray,closed
FOY-0113,Invoice Issued,2026-01-28,Aine Murray,ok
FOY-0113,Document Re-request,2026-01-28,Aine Murray,complete
FOY-0113,Pre-Arrival Logistics,2026-01-31 14:45,Declan Quinn,done
FOY-0113,Arrival,2026-02-08 14:45,Roisin Friel,done
FOY-0114,Request Received,11/01/2026,Niamh Kelly,closed
FOY-0114,placement offer,2026-01-12 12:30,Ciaran Bradley,ok
FOY-0114,Booking Confirmed ,"Jan 13, 2026",Ciaran Bradley,complete
FOY-0114,Invoice Issued,17-Jan-2026,Aine Murray,closed
FOY-0114,Document Re-request,"Jan 18, 2026",Ciaran Bradley,done
FOY-0114,Pre-Arrival Logistics,24/01/2026,Declan Quinn,ok
FOY-0114,arrival,31/01/2026,Orla McLaughlin,closed
FOY-0115,REQUEST RECEIVED,04-Jan-2026,Paul Doherty,completed
FOY-0115,  Placement Offer,2026-01-07,Declan Quinn,done
FOY-0115,Placement Re-allocation,08-Jan-2026,Sean Gallagher,completed
FOY-0115,Booking Confirmed,22-Jan-2026,Sean Gallagher,closed
FOY-0115,Invoice Issued,2026-01-25 16:30,Paul Doherty,ok
FOY-0115,  PRE-ARRIVAL LOGISTICS,2026-01-30 16:30,Roisin Friel,closed
FOY-0115,Arrival,2026-02-08 16:30,Niamh Kelly,complete
FOY-0116,  Request Received,09-Mar-2026,Ciaran Bradley,done
FOY-0116,placement offer,11-Mar-2026,Niamh Kelly,completed
FOY-0116,  Booking Confirmed,21-Mar-2026,,completed
FOY-0116,INVOICE ISSUED ,23-Mar-2026,,done
FOY-0116,Pre-Arrival Logistics,2026-03-29 09:15,Declan Quinn,closed
FOY-0116,Arrival,2026-04-03 09:15,Niamh Kelly,completed
FOY-0117,Request Received,2026-02-20,Niamh Kelly,closed
FOY-0117,Placement Offer,2026-02-23,Sean Gallagher,closed
FOY-0117,Booking Confirmed,24-Feb-2026,Aine Murray,closed
FOY-0117,Invoice Issued,25-Feb-2026,Declan Quinn,closed
FOY-0117,Pre-Arrival Logistics,"Mar 02, 2026",Roisin Friel,done
FOY-0117,  Arrival,10-Mar-2026,Niamh Kelly,complete
FOY-0118,REQUEST RECEIVED,2026-01-22,Ciaran Bradley,completed
FOY-0118,placement offer,23/01/2026,Declan Quinn,closed
FOY-0118,Booking Confirmed,2026-01-31,,complete
FOY-0118,Invoice Issued,01/02/2026,Niamh Kelly,ok
FOY-0118,Document Re-request,01/02/2026,Sean Gallagher,ok
FOY-0118,  Pre-Arrival Logistics,07-Feb-2026,Orla McLaughlin,
FOY-0118,Arrival,"Feb 17, 2026",Sean Gallagher,closed
FOY-0119,Request Received,2026-01-12 14:00,Sean Gallagher,completed
FOY-0119,Placement Offer,"Jan 14, 2026",Sean Gallagher,completed
FOY-0119,Placement Re-allocation,16/01/2026,Aine Murray,done
FOY-0119,BOOKING CONFIRMED,2026-01-29 14:00,Roisin Friel,done
